Feature,Gradient Boosting,Random Forest
Exponential,0.2668433485254016,0.22251145508378237
Gompertz,0.3920247958339963,0.1461148377540039
Logistic,0.09532174329206118,0.2567985838363963
Richards,0.09320312304325098,0.19208449850836173
time_norm,0.10618689221608911,0.15358513847376964
time_norm_cos,0.025321234491734748,0.01787607524327228
time_norm_sin,0.021098862597466045,0.01102941110041374
