Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Random Forest_Pred
0.0,4409.177132955068,6612.965251417441,6410.14530893687,8083.419668968276,46.75945238095238
1.0,4437.66192597995,6630.011538492432,6427.430674278616,8087.343011981484,50.15245238095238
2.0,4466.225683306055,6647.132030876408,6444.790899494263,8091.32152174024,63.922952380952395
3.0,4494.868623834771,6664.3270390511425,6462.22629629084,8095.355814408466,77.07495238095237
4.0,4523.590967074324,6681.596874685932,6479.737177562171,8099.4465107370515,105.2665
5.0,4552.392933141444,6698.941850641148,6497.323857392394,8103.594236069324,127.47157142857142
6.0,4581.274742763062,6716.362280971767,6514.986651059484,8107.799620346164,148.69126190476192
7.0,4610.236617278002,6733.85848093091,6532.725875038761,8112.063298110786,165.46376190476192
8.0,4639.278778638665,6751.4307669733935,6550.541847006425,8116.385908513155,182.05145238095244
9.0,4668.401449412746,6769.07945675926,6568.434885843071,8120.76809531407,203.67070238095243
10.0,4697.604852784934,6786.804869157326,6586.405311637209,8125.210506888875,223.53163095238105
11.0,4726.8892125586135,6804.607324248721,6604.453445688796,8129.713796230823,237.88929761904762
12.0,4756.254753157591,6822.487143330438,6622.57961051275,8134.278620954081,250.0154642857143
13.0,4785.701699627809,6840.444648918868,6640.7841298424755,8138.9056432963625,271.86192857142845
14.0,4815.230277639081,6858.480164753348,6659.067328633388,8143.595530121209,300.34215476190474
15.0,4844.840713486799,6876.594015799705,6677.429533066434,8148.348952919897,317.6713214285715
16.0,4874.533234093689,6894.786528253796,6695.871070551624,8153.1665878129725,339.84934523809534
17.0,4904.308067011545,6913.058029545053,6714.392269731539,8158.049115551424,361.786011904762
18.0,4934.165440422965,6931.408848340027,6732.993460484868,8162.997221517469,375.9076666666667
19.0,4964.105583143104,6949.839314545929,6751.674973929916,8168.011595724979,386.7900000000001
20.0,4994.128724621432,6968.349759314168,6770.437142428136,8173.092932819507,414.12783333333334
21.0,5024.2350949434895,6986.9405150439,6789.280299587645,8178.241932077954,434.68
22.0,5054.424924832645,7005.611915385558,6808.20478026674,8183.459297407838,461.3378333333333
23.0,5084.698445651873,7024.364295244398,6827.210920577421,8188.745737346187,485.5493333333333
24.0,5115.055889405519,7043.197990784034,6846.299057888904,8194.10196505804,517.5875952380952
25.0,5145.497488741086,7062.113339429976,6865.46953083114,8199.528698334565,533.376261904762
26.0,5176.023476951008,7081.110679873161,6884.72267929832,8205.026659590774,555.7900952380953
