Model,Weight_R2,Weight_InvMSE,Growth_Rate_Param,Growth_Rate_Value
Exponential,0.0,0.11914692134980209,b (rate),0.002768320997222106
Logistic,0.0,0.124060796708765,k (rate),0.004508211243591243
Richards,1.0,0.6413546843518473,k (rate),0.0045288744320565455
Gompertz,0.0,0.11543759758958573,k (rate),0.002417172053746509
