Model,Type,RMSE,R²,MAE
Exponential,Individual,7731.6605611145405,-1.5140727871707789,7057.198041902117
Logistic,Individual,7579.2375475517065,-1.2466965870098292,7090.880300941368
Richards,Individual,7522.156327993745,-1.090876718539268,7050.070435868215
Gompertz,Individual,7790.874612904494,-1.1944848807062916,7141.31587666446
Random Forest,Ensemble,14203.999385329133,-5.722610314559548,12742.337034013606
Gradient Boosting,Ensemble,14045.089385963995,-5.487578520100206,12577.979999842897
Simple Average,Ensemble,11721.264641356223,0.8517839678126375,5389.578466139484
Weighted Average (R2),Ensemble,11581.438307620016,0.8552990987696277,5328.982716763706
Weighted Average (InvMSE),Ensemble,11703.229813114913,0.8522397197013659,5382.140075072861
