date,time_idx,best_model_forecast,best_ensemble_forecast,lower_ci,upper_ci
2024-12-31,6209,113663.93250940712,105774.45507551142,86771.12812788803,148403.36561919303
2025-12-31,6210,113711.23641938968,105774.45507551142,86804.68000314462,148467.683045409
2026-12-31,6211,113758.55905241524,105774.32807551142,86838.24397878608,148532.02735215225
2027-12-31,6212,113805.90041589433,105773.82133192167,86871.82005917639,148596.3985506571
2028-12-31,6213,113853.26051724056,105773.82133192167,86905.4082486812,148660.79665216262
